Crop,Variety,Description,S_b_temp,S_t_time,Opt_temp,G_b_temp,G_t_time,Max_temp,F_b_temp,F_t_time,Sensitivity,R_growth,S_l_area,Index_green,Extinction,Radiation,Root_growth,S_crop,Index_n,Slope,Potential,Nitrogen,S_storage,S_htemp
Potato,Kufri Pukhraj,,4,275,25,4,275,35,4,850,1,0.005,0.0027,1,0.6,3.5,25,1,1,10000000,200000,0.015,1,1
Potato,Kufri Jawahar,,4,315,25,4,360,35,4,800,1,0.005,0.0027,1,0.6,3.5,25,1,1,10000000,200000,0.015,1,1
Potato,Kufri Bahar,,4,240,25,4,230,35,4,800,1,0.005,0.0027,1,0.6,3.5,25,1,1,10000000,200000,0.015,1,1
Potato,Kufri Sutlej,,4,315,25,4,330,35,4,850,1,0.005,0.0027,1,0.6,3.5,25,1,1,10000000,200000,0.015,1,1
Potato,Kufri Lalima,,4,325,25,4,370,35,4,850,1,0.003,0.0027,1,0.6,3.5,25,1,1,10000000,200000,0.015,1,1
Potato,Kufri Sindhuri,,4,325,25,4,440,35,4,950,1,0.003,0.0027,1,0.6,3.5,25,1,1,10000000,200000,0.015,1,1
Rice,Default,Common variety of Rice grown in India,7.6,50,30,10,1650,42,10,430,1,0.009,0.0022,1,0.6,2.3,12,1,1,56000,22,0.014,1,1
Rice,IR 36,,8,80,30,8,1550,42,8,520,1,0.009,0.0022,1,0.6,2.3,12,1,1,56000,25,0.014,1,1
Rice,Akashi,,8,80,30,8,1200,42,8,520,1,0.009,0.0022,1,0.6,2.3,12,1,1,56000,23,0.014,1,1
Rice,Kauveri,,8,80,30,8,1374,42,8,520,1,0.009,0.0022,1,0.6,2.3,12,1,1,56000,25,0.014,1,1
Rice,Rasi,,8,60,30,8,1570,42,8,520,1,0.009,0.0022,1,0.6,2.3,12,1,1,56000,25,0.014,1,1
Rice,Ratna,,8,70,30,8,1525,42,8,520,1,0.009,0.0022,1,0.6,2.3,12,1,1,56000,25,0.014,1,1
Rice,Pusa Sughandh-3,Aromatic Inbred Rice,7.6,50,30,10,1500,42,10,480,1,0.009,0.0024,0.9,0.5,2.3,12,1,1,50000,23,0.013,1,1
Rice,PRH-10,Aromatic Rice Hybrid,7.6,50,30,10,1450,42,10,500,1,0.0099,0.0024,0.9,0.6,2.3,12,1,1,58000,22,0.0134,1,1
Rice,Pusa Basmati-1,Aromatic Inbred Rice,7.6,50,30,10,1600,42,10,400,1,0.007,0.0022,0.8,0.4,2.2,12,1,1,48000,21,0.01163,1,1
Sorghum,Default,Most commonly grown variety of Sorghum growing region,8,75,30,8,1270,38,8,750,1,0.004,0.0029,1,0.64,3.9,15,1,1,100000,28,0.02,1,1
Sorghum,CSH 14,,8,110,34,8,1100,40,8,770,1,0.004,0.0032,1,0.64,4,15,1,1,65000,28,0.02,1,1
Sorghum,CSH 9,,8,108,34,8,1290,40,8,770,1,0.004,0.0032,1,0.64,4,15,1,1,65000,28,0.02,1,1
Sorghum,CSH 6,,8,108,34,8,1110,40,8,780,1,0.004,0.0032,1,0.64,4,15,1,1,65000,28,0.02,1,1
Sorghum,CSH 16,,8,107,34,8,1230,40,8,710,1,0.004,0.0032,1,0.64,4,15,1,1,65000,28,0.02,1,1
